shipment_id,order_id,dispatch_center_id,carrier_id,dispatch_date,shipped_date,promised_delivery_date,actual_delivery_date,delivery_status,delivery_days,delay_days
24,24,1,4,2024-01-07,2024-01-07,2024-01-08,2024-01-08,On-Time,1,0
25,25,3,1,2024-02-15,2024-02-15,2024-02-17,2024-02-17,On-Time,2,0
26,26,4,2,2024-02-08,2024-02-08,2024-02-10,2024-02-10,On-Time,2,0
27,27,1,4,2024-01-25,2024-01-25,2024-01-26,2024-01-30,Delayed,5,4
28,28,6,3,2024-01-20,2024-01-20,2024-01-24,2024-01-27,Delayed,7,3
29,29,2,1,2024-02-04,2024-02-04,2024-02-07,2024-02-07,On-Time,3,0
30,30,6,2,2024-03-12,2024-03-12,2024-03-13,2024-03-13,On-Time,1,0
31,31,6,1,2024-02-08,2024-02-08,2024-02-11,2024-02-11,On-Time,3,0
32,32,2,3,2024-01-30,2024-01-30,2024-02-03,2024-02-03,On-Time,4,0
33,33,2,2,2024-03-27,2024-03-27,2024-03-28,2024-03-28,On-Time,1,0
34,34,5,2,2024-01-18,2024-01-18,2024-01-20,2024-01-20,On-Time,2,0
35,35,4,3,2024-03-24,2024-03-24,2024-03-27,2024-03-27,On-Time,3,0
36,36,1,2,2024-01-15,2024-01-15,2024-01-16,2024-01-16,On-Time,1,0
37,37,7,5,2024-03-03,2024-03-03,2024-03-08,2024-03-08,On-Time,5,0
38,38,6,1,2024-02-05,2024-02-05,2024-02-07,2024-02-07,On-Time,2,0
39,39,8,2,2024-01-30,2024-01-30,2024-02-01,2024-02-01,On-Time,2,0
40,40,2,3,2024-04-01,2024-04-01,2024-04-05,2024-04-05,On-Time,4,0
41,41,4,1,2024-02-08,2024-02-08,2024-02-11,2024-02-11,On-Time,3,0
42,42,8,4,2024-01-05,2024-01-05,2024-01-07,2024-01-07,On-Time,2,0
43,43,1,1,2024-04-02,2024-04-02,2024-04-04,2024-04-04,On-Time,2,0
44,44,6,4,2024-03-08,2024-03-08,2024-03-09,2024-03-09,On-Time,1,0
45,45,6,4,2024-02-08,2024-02-08,2024-02-09,2024-02-09,On-Time,1,0
46,46,1,1,2024-02-21,2024-02-21,2024-02-24,2024-02-24,On-Time,3,0
47,47,5,4,2024-01-21,2024-01-21,2024-01-22,2024-01-22,On-Time,1,0
48,48,6,3,2024-03-18,2024-03-18,2024-03-22,2024-03-22,On-Time,4,0
49,49,4,1,2024-04-01,2024-04-01,2024-04-03,2024-04-03,On-Time,2,0
50,50,1,5,2024-02-25,2024-02-25,2024-02-29,2024-02-29,On-Time,4,0
51,51,1,2,2024-03-29,2024-03-29,2024-03-31,2024-03-31,On-Time,2,0
52,52,6,3,2024-01-21,2024-01-21,2024-01-25,2024-01-29,Delayed,8,4
53,53,6,3,2024-02-16,2024-02-16,2024-02-19,2024-02-19,On-Time,3,0
54,54,7,3,2024-01-16,2024-01-16,2024-01-19,2024-01-19,On-Time,3,0
55,55,2,3,2024-01-31,2024-01-31,2024-02-04,2024-02-04,On-Time,4,0
56,56,2,5,2024-02-28,2024-02-28,2024-03-03,2024-03-03,On-Time,4,0
57,57,1,2,2024-02-12,2024-02-12,2024-02-13,2024-02-13,On-Time,1,0
58,58,6,4,2024-02-26,2024-02-26,2024-02-28,2024-02-28,On-Time,2,0
59,59,1,3,2024-01-03,2024-01-03,2024-01-07,2024-01-07,On-Time,4,0
60,60,2,4,2024-03-25,2024-03-25,2024-03-26,2024-03-26,On-Time,1,0
61,61,1,1,2024-03-20,2024-03-20,2024-03-23,2024-03-23,On-Time,3,0
62,62,8,2,2024-02-07,2024-02-07,2024-02-08,2024-02-08,On-Time,1,0
63,63,1,5,2024-01-10,2024-01-10,2024-01-15,2024-01-15,On-Time,5,0
64,64,3,2,2024-02-15,2024-02-15,2024-02-17,2024-02-17,On-Time,2,0
65,65,6,2,2024-01-29,2024-01-29,2024-01-31,2024-01-31,On-Time,2,0
66,66,8,3,2024-03-15,2024-03-15,2024-03-18,2024-03-18,On-Time,3,0
67,67,1,2,2024-02-28,2024-02-28,2024-03-01,2024-03-01,On-Time,2,0
68,68,2,4,2024-03-13,2024-03-13,2024-03-14,2024-03-15,Delayed,2,1
69,69,3,3,2024-03-17,2024-03-17,2024-03-21,2024-03-21,On-Time,4,0
70,70,1,4,2024-01-26,2024-01-26,2024-01-27,2024-01-27,On-Time,1,0
71,71,4,5,2024-02-03,2024-02-03,2024-02-08,2024-02-08,On-Time,5,0
72,72,5,3,2024-03-07,2024-03-07,2024-03-11,2024-03-11,On-Time,4,0
73,73,4,2,2024-02-22,2024-02-22,2024-02-23,2024-02-25,Delayed,3,2
74,74,7,4,2024-02-19,2024-02-19,2024-02-20,2024-02-20,On-Time,1,0
75,75,6,4,2024-01-19,2024-01-19,2024-01-21,2024-01-21,On-Time,2,0
76,76,4,2,2024-03-07,2024-03-07,2024-03-08,2024-03-08,On-Time,1,0
77,77,7,2,2024-03-25,2024-03-25,2024-03-27,2024-03-27,On-Time,2,0
78,78,5,3,2024-02-15,2024-02-15,2024-02-19,2024-02-19,On-Time,4,0
79,79,6,5,2024-02-26,2024-02-26,2024-03-01,2024-03-01,On-Time,4,0
80,80,6,2,2024-02-26,2024-02-26,2024-02-27,2024-02-27,On-Time,1,0
81,81,4,5,2024-03-01,2024-03-01,2024-03-05,2024-03-05,On-Time,4,0
82,82,5,5,2024-03-23,2024-03-23,2024-03-28,2024-03-28,On-Time,5,0
83,83,7,1,2024-02-06,2024-02-06,2024-02-09,2024-02-09,On-Time,3,0
84,84,8,4,2024-03-24,2024-03-24,2024-03-25,2024-03-28,Delayed,4,3
85,85,1,1,2024-01-17,2024-01-17,2024-01-19,2024-01-19,On-Time,2,0
86,86,6,3,2024-02-06,2024-02-06,2024-02-10,2024-02-10,On-Time,4,0
87,87,3,5,2024-01-19,2024-01-19,2024-01-23,2024-01-23,On-Time,4,0
88,88,6,4,2024-02-13,2024-02-13,2024-02-15,2024-02-15,On-Time,2,0
89,89,7,5,2024-03-29,2024-03-29,2024-04-02,,Cancelled,0,0
90,90,6,5,2024-02-12,2024-02-12,2024-02-16,2024-02-16,On-Time,4,0
91,91,2,1,2024-02-02,2024-02-02,2024-02-04,2024-02-04,On-Time,2,0
92,92,6,3,2024-02-22,2024-02-22,2024-02-26,2024-02-26,On-Time,4,0
93,93,4,4,2024-02-22,2024-02-22,2024-02-23,2024-02-26,Delayed,4,3
94,94,4,2,2024-02-20,2024-02-20,2024-02-22,2024-02-22,On-Time,2,0
95,95,6,5,2024-01-23,2024-01-23,2024-01-28,2024-01-28,On-Time,5,0
96,96,5,2,2024-01-25,2024-01-25,2024-01-26,2024-01-26,On-Time,1,0
97,97,1,4,2024-03-01,2024-03-01,2024-03-03,2024-03-04,Delayed,3,1
98,98,2,4,2024-02-21,2024-02-21,2024-02-22,2024-02-22,On-Time,1,0
99,99,4,1,2024-01-07,2024-01-07,2024-01-10,2024-01-10,On-Time,3,0
100,100,4,3,2024-02-23,2024-02-23,2024-02-27,2024-02-27,On-Time,4,0
101,101,2,2,2024-02-08,2024-02-08,2024-02-10,2024-02-10,On-Time,2,0
102,102,6,4,2024-03-15,2024-03-15,2024-03-16,2024-03-16,On-Time,1,0
103,103,1,2,2024-01-18,2024-01-18,2024-01-20,2024-01-20,On-Time,2,0
104,104,8,2,2024-02-16,2024-02-16,2024-02-17,2024-02-17,On-Time,1,0
105,105,5,3,2024-02-15,2024-02-15,2024-02-18,2024-02-18,On-Time,3,0
106,106,1,5,2024-01-31,2024-01-31,2024-02-05,2024-02-05,On-Time,5,0
107,107,2,2,2024-02-29,2024-02-29,2024-03-01,2024-03-01,On-Time,1,0
108,108,5,2,2024-01-26,2024-01-26,2024-01-28,2024-01-28,On-Time,2,0
109,109,4,1,2024-02-11,2024-02-11,2024-02-14,2024-02-14,On-Time,3,0
110,110,1,4,2024-02-28,2024-02-28,2024-02-29,2024-02-29,On-Time,1,0
111,111,6,4,2024-02-04,2024-02-04,2024-02-06,2024-02-06,On-Time,2,0
112,112,6,3,2024-03-02,2024-03-02,2024-03-06,2024-03-06,On-Time,4,0
113,113,3,5,2024-02-10,2024-02-10,2024-02-15,2024-02-15,On-Time,5,0
114,114,7,2,2024-03-21,2024-03-21,2024-03-22,2024-03-22,On-Time,1,0
115,115,8,1,2024-02-14,2024-02-14,2024-02-16,2024-02-20,Delayed,6,4
116,116,1,3,2024-01-04,2024-01-04,2024-01-08,2024-01-08,On-Time,4,0
117,117,8,4,2024-01-30,2024-01-30,2024-01-31,2024-01-31,On-Time,1,0
118,118,7,3,2024-02-03,2024-02-03,2024-02-06,2024-02-06,On-Time,3,0
119,119,1,5,2024-02-12,2024-02-12,2024-02-17,2024-02-17,On-Time,5,0
120,120,6,3,2024-03-14,2024-03-14,2024-03-17,2024-03-17,On-Time,3,0
121,121,5,2,2024-02-17,2024-02-17,2024-02-19,2024-02-19,On-Time,2,0
122,122,1,5,2024-01-10,2024-01-10,2024-01-14,2024-01-14,On-Time,4,0
123,123,2,5,2024-03-15,2024-03-15,2024-03-19,2024-03-19,On-Time,4,0
124,124,6,4,2024-02-07,2024-02-07,2024-02-08,2024-02-08,On-Time,1,0
125,125,4,5,2024-01-05,2024-01-05,2024-01-09,2024-01-09,On-Time,4,0
126,126,1,2,2024-02-16,2024-02-16,2024-02-18,2024-02-19,Delayed,3,1
127,127,1,2,2024-02-11,2024-02-11,2024-02-13,2024-02-13,On-Time,2,0
128,128,4,4,2024-02-28,2024-02-28,2024-02-29,2024-02-29,On-Time,1,0
129,129,5,1,2024-01-14,2024-01-14,2024-01-16,2024-01-16,On-Time,2,0
130,130,5,1,2024-01-14,2024-01-14,2024-01-16,2024-01-16,On-Time,2,0
131,131,6,1,2024-01-11,2024-01-11,2024-01-13,2024-01-13,On-Time,2,0
132,132,4,1,2024-01-24,2024-01-24,2024-01-27,2024-01-27,On-Time,3,0
133,133,3,2,2024-02-24,2024-02-24,2024-02-26,2024-02-26,On-Time,2,0
134,134,3,4,2024-03-21,2024-03-21,2024-03-23,2024-03-23,On-Time,2,0
135,135,6,4,2024-02-16,2024-02-16,2024-02-17,,Cancelled,0,0
136,136,1,4,2024-03-24,2024-03-24,2024-03-25,2024-03-25,On-Time,1,0
137,137,6,3,2024-01-18,2024-01-18,2024-01-22,2024-01-22,On-Time,4,0
138,138,1,3,2024-03-28,2024-03-28,2024-03-31,2024-03-31,On-Time,3,0
139,139,4,2,2024-01-06,2024-01-06,2024-01-08,,Cancelled,0,0
140,140,1,4,2024-02-21,2024-02-21,2024-02-23,2024-02-23,On-Time,2,0
141,141,7,5,2024-03-26,2024-03-26,2024-03-30,2024-03-30,On-Time,4,0
142,142,4,4,2024-01-10,2024-01-10,2024-01-12,2024-01-12,On-Time,2,0
143,143,1,2,2024-02-28,2024-02-28,2024-03-01,2024-03-01,On-Time,2,0
144,144,3,3,2024-03-14,2024-03-14,2024-03-18,2024-03-20,Delayed,6,2
145,145,6,3,2024-03-12,2024-03-12,2024-03-15,2024-03-15,On-Time,3,0
146,146,2,1,2024-02-10,2024-02-10,2024-02-12,2024-02-12,On-Time,2,0
147,147,6,1,2024-02-21,2024-02-21,2024-02-24,2024-02-24,On-Time,3,0
148,148,7,5,2024-03-28,2024-03-28,2024-04-02,2024-04-02,On-Time,5,0
149,149,8,3,2024-01-17,2024-01-17,2024-01-21,,Cancelled,0,0
150,150,6,3,2024-01-16,2024-01-16,2024-01-20,2024-01-20,On-Time,4,0
151,151,8,1,2024-03-18,2024-03-18,2024-03-21,,Cancelled,0,0
152,152,6,1,2024-02-06,2024-02-06,2024-02-09,2024-02-13,Delayed,7,4
153,153,7,1,2024-03-27,2024-03-27,2024-03-30,2024-03-30,On-Time,3,0
154,154,3,3,2024-02-02,2024-02-02,2024-02-05,2024-02-05,On-Time,3,0
155,155,5,3,2024-03-28,2024-03-28,2024-03-31,2024-03-31,On-Time,3,0
156,156,6,3,2024-02-16,2024-02-16,2024-02-20,2024-02-20,On-Time,4,0
157,157,1,3,2024-01-25,2024-01-25,2024-01-28,2024-01-29,Delayed,4,1
158,158,5,3,2024-02-19,2024-02-19,2024-02-23,2024-02-26,Delayed,7,3
159,159,6,3,2024-02-21,2024-02-21,2024-02-25,2024-02-25,On-Time,4,0
160,160,5,3,2024-01-15,2024-01-15,2024-01-19,2024-01-19,On-Time,4,0
161,161,1,2,2024-03-27,2024-03-27,2024-03-29,2024-03-29,On-Time,2,0
162,162,1,4,2024-01-04,2024-01-04,2024-01-06,2024-01-06,On-Time,2,0
163,163,8,1,2024-02-04,2024-02-04,2024-02-07,2024-02-07,On-Time,3,0
164,164,2,3,2024-01-18,2024-01-18,2024-01-22,2024-01-22,On-Time,4,0
165,165,3,3,2024-03-06,2024-03-06,2024-03-09,2024-03-09,On-Time,3,0
166,166,8,4,2024-01-10,2024-01-10,2024-01-12,2024-01-12,On-Time,2,0
167,167,4,5,2024-02-13,2024-02-13,2024-02-18,2024-02-18,On-Time,5,0
168,168,1,2,2024-03-20,2024-03-20,2024-03-22,2024-03-22,On-Time,2,0
169,169,4,3,2024-02-22,2024-02-22,2024-02-26,2024-02-29,Delayed,7,3
170,170,6,1,2024-01-14,2024-01-14,2024-01-16,2024-01-17,Delayed,3,1
171,171,1,1,2024-01-23,2024-01-23,2024-01-26,2024-01-26,On-Time,3,0
172,172,1,2,2024-01-14,2024-01-14,2024-01-16,2024-01-16,On-Time,2,0
173,173,3,4,2024-02-10,2024-02-10,2024-02-12,2024-02-12,On-Time,2,0
174,174,1,2,2024-02-21,2024-02-21,2024-02-22,2024-02-22,On-Time,1,0
175,175,7,5,2024-03-27,2024-03-27,2024-03-31,2024-03-31,On-Time,4,0
176,176,6,1,2024-01-28,2024-01-28,2024-01-30,2024-01-30,On-Time,2,0
177,177,2,3,2024-03-29,2024-03-29,2024-04-02,2024-04-02,On-Time,4,0
178,178,3,5,2024-01-27,2024-01-27,2024-01-31,2024-01-31,On-Time,4,0
179,179,4,5,2024-02-29,2024-02-29,2024-03-05,2024-03-09,Delayed,9,4
180,180,6,4,2024-02-01,2024-02-01,2024-02-03,2024-02-03,On-Time,2,0
181,181,6,4,2024-03-30,2024-03-30,2024-03-31,2024-03-31,On-Time,1,0
182,182,2,1,2024-03-22,2024-03-22,2024-03-25,2024-03-25,On-Time,3,0
183,183,7,5,2024-01-24,2024-01-24,2024-01-28,2024-01-28,On-Time,4,0
184,184,2,4,2024-01-28,2024-01-28,2024-01-29,2024-01-31,Delayed,3,2
185,185,6,5,2024-01-12,2024-01-12,2024-01-17,2024-01-17,On-Time,5,0
186,186,1,1,2024-01-08,2024-01-08,2024-01-10,2024-01-10,On-Time,2,0
187,187,2,5,2024-02-14,2024-02-14,2024-02-18,2024-02-18,On-Time,4,0
188,188,5,2,2024-01-09,2024-01-09,2024-01-11,2024-01-11,On-Time,2,0
189,189,3,5,2024-01-09,2024-01-09,2024-01-14,2024-01-18,Delayed,9,4
190,190,6,4,2024-02-28,2024-02-28,2024-03-01,2024-03-01,On-Time,2,0
191,191,1,4,2024-02-21,2024-02-21,2024-02-22,2024-02-22,On-Time,1,0
192,192,7,4,2024-03-23,2024-03-23,2024-03-24,2024-03-24,On-Time,1,0
193,193,6,3,2024-01-29,2024-01-29,2024-02-01,2024-02-01,On-Time,3,0
194,194,1,5,2024-03-25,2024-03-25,2024-03-30,2024-03-30,On-Time,5,0
195,195,2,4,2024-01-05,2024-01-05,2024-01-07,2024-01-07,On-Time,2,0
196,196,1,1,2024-03-04,2024-03-04,2024-03-07,2024-03-08,Delayed,4,1
197,197,4,3,2024-02-12,2024-02-12,2024-02-15,2024-02-15,On-Time,3,0
198,198,4,5,2024-02-09,2024-02-09,2024-02-13,2024-02-13,On-Time,4,0
199,199,6,1,2024-03-30,2024-03-30,2024-04-02,2024-04-02,On-Time,3,0
200,200,1,4,2024-03-18,2024-03-18,2024-03-19,2024-03-19,On-Time,1,0
201,201,2,3,2024-03-22,2024-03-22,2024-03-25,2024-03-25,On-Time,3,0
202,202,6,2,2024-01-05,2024-01-05,2024-01-06,2024-01-06,On-Time,1,0
203,203,3,3,2024-01-09,2024-01-09,2024-01-12,2024-01-12,On-Time,3,0
204,204,8,4,2024-01-04,2024-01-04,2024-01-05,2024-01-08,Delayed,4,3
205,205,6,3,2024-02-24,2024-02-24,2024-02-27,2024-03-02,Delayed,7,4
206,206,1,2,2024-03-08,2024-03-08,2024-03-09,2024-03-11,Delayed,3,2
207,207,6,3,2024-02-14,2024-02-14,2024-02-18,,Cancelled,0,0
208,208,5,1,2024-01-19,2024-01-19,2024-01-22,2024-01-22,On-Time,3,0
209,209,1,4,2024-04-01,2024-04-01,2024-04-03,2024-04-03,On-Time,2,0
210,210,2,3,2024-02-04,2024-02-04,2024-02-08,2024-02-08,On-Time,4,0
211,211,4,3,2024-03-24,2024-03-24,2024-03-27,2024-03-27,On-Time,3,0
212,212,1,1,2024-02-15,2024-02-15,2024-02-18,2024-02-18,On-Time,3,0
213,213,8,3,2024-03-29,2024-03-29,2024-04-01,2024-04-01,On-Time,3,0
214,214,6,4,2024-01-08,2024-01-08,2024-01-09,2024-01-09,On-Time,1,0
215,215,2,4,2024-02-25,2024-02-25,2024-02-26,2024-02-28,Delayed,3,2
216,216,2,3,2024-01-30,2024-01-30,2024-02-02,2024-02-02,On-Time,3,0
217,217,7,5,2024-03-05,2024-03-05,2024-03-09,,Cancelled,0,0
218,218,1,3,2024-03-06,2024-03-06,2024-03-09,2024-03-09,On-Time,3,0
219,219,5,1,2024-02-08,2024-02-08,2024-02-10,,Cancelled,0,0
220,220,7,5,2024-02-13,2024-02-13,2024-02-17,2024-02-17,On-Time,4,0
221,221,3,4,2024-03-23,2024-03-23,2024-03-24,2024-03-24,On-Time,1,0
222,222,8,1,2024-03-22,2024-03-22,2024-03-24,2024-03-24,On-Time,2,0
223,223,5,3,2024-01-10,2024-01-10,2024-01-13,2024-01-13,On-Time,3,0
224,224,2,4,2024-03-19,2024-03-19,2024-03-20,2024-03-20,On-Time,1,0
225,225,8,5,2024-02-08,2024-02-08,2024-02-13,2024-02-13,On-Time,5,0
226,226,3,3,2024-02-07,2024-02-07,2024-02-10,2024-02-10,On-Time,3,0
227,227,6,3,2024-03-24,2024-03-24,2024-03-28,2024-03-28,On-Time,4,0
228,228,4,1,2024-01-19,2024-01-19,2024-01-21,2024-01-21,On-Time,2,0
229,229,4,5,2024-03-05,2024-03-05,2024-03-10,2024-03-10,On-Time,5,0
230,230,1,1,2024-01-31,2024-01-31,2024-02-03,2024-02-03,On-Time,3,0
231,231,8,4,2024-03-06,2024-03-06,2024-03-08,2024-03-08,On-Time,2,0
232,232,5,4,2024-01-06,2024-01-06,2024-01-08,2024-01-08,On-Time,2,0
233,233,6,3,2024-03-21,2024-03-21,2024-03-25,2024-03-25,On-Time,4,0
234,234,3,1,2024-01-06,2024-01-06,2024-01-08,2024-01-08,On-Time,2,0
235,235,3,5,2024-02-10,2024-02-10,2024-02-14,2024-02-14,On-Time,4,0
236,236,8,4,2024-01-25,2024-01-25,2024-01-27,2024-01-27,On-Time,2,0
237,237,6,1,2024-01-12,2024-01-12,2024-01-14,2024-01-14,On-Time,2,0
238,238,1,3,2024-01-29,2024-01-29,2024-02-02,2024-02-02,On-Time,4,0
239,239,7,2,2024-01-17,2024-01-17,2024-01-19,2024-01-21,Delayed,4,2
240,240,7,4,2024-03-04,2024-03-04,2024-03-05,2024-03-05,On-Time,1,0
241,241,4,2,2024-03-27,2024-03-27,2024-03-28,2024-03-28,On-Time,1,0
242,242,7,3,2024-03-13,2024-03-13,2024-03-17,2024-03-17,On-Time,4,0
243,243,1,4,2024-03-26,2024-03-26,2024-03-28,2024-03-28,On-Time,2,0
244,244,8,2,2024-03-29,2024-03-29,2024-03-30,2024-03-30,On-Time,1,0
245,245,3,5,2024-01-07,2024-01-07,2024-01-12,2024-01-12,On-Time,5,0
246,246,5,2,2024-01-17,2024-01-17,2024-01-18,2024-01-18,On-Time,1,0
247,247,3,2,2024-03-09,2024-03-09,2024-03-10,2024-03-10,On-Time,1,0
248,248,8,2,2024-01-15,2024-01-15,2024-01-17,2024-01-17,On-Time,2,0
249,249,8,4,2024-01-28,2024-01-28,2024-01-30,2024-01-30,On-Time,2,0
250,250,2,4,2024-02-26,2024-02-26,2024-02-27,2024-02-27,On-Time,1,0
251,251,7,1,2024-03-11,2024-03-11,2024-03-13,2024-03-17,Delayed,6,4
252,252,7,3,2024-01-13,2024-01-13,2024-01-16,2024-01-16,On-Time,3,0
253,253,7,5,2024-03-28,2024-03-28,2024-04-02,2024-04-02,On-Time,5,0
254,254,6,1,2024-01-24,2024-01-24,2024-01-27,2024-01-27,On-Time,3,0
255,255,6,2,2024-02-03,2024-02-03,2024-02-04,2024-02-04,On-Time,1,0
256,256,1,1,2024-01-19,2024-01-19,2024-01-21,2024-01-21,On-Time,2,0
257,257,6,4,2024-02-07,2024-02-07,2024-02-08,2024-02-08,On-Time,1,0
258,258,1,5,2024-01-14,2024-01-14,2024-01-18,2024-01-18,On-Time,4,0
259,259,2,1,2024-03-14,2024-03-14,2024-03-16,2024-03-16,On-Time,2,0
260,260,8,4,2024-01-20,2024-01-20,2024-01-21,2024-01-21,On-Time,1,0
261,261,7,2,2024-03-08,2024-03-08,2024-03-09,2024-03-09,On-Time,1,0
262,262,3,4,2024-01-06,2024-01-06,2024-01-07,2024-01-07,On-Time,1,0
263,263,1,1,2024-02-08,2024-02-08,2024-02-10,2024-02-10,On-Time,2,0
264,264,4,4,2024-03-20,2024-03-20,2024-03-21,2024-03-25,Delayed,5,4
265,265,4,5,2024-02-05,2024-02-05,2024-02-10,2024-02-10,On-Time,5,0
266,266,1,2,2024-02-07,2024-02-07,2024-02-08,2024-02-08,On-Time,1,0
267,267,1,4,2024-03-09,2024-03-09,2024-03-10,2024-03-10,On-Time,1,0
268,268,7,1,2024-03-10,2024-03-10,2024-03-13,,Cancelled,0,0
269,269,1,2,2024-03-06,2024-03-06,2024-03-07,2024-03-11,Delayed,5,4
270,270,4,1,2024-02-27,2024-02-27,2024-02-29,2024-03-03,Delayed,5,3
271,271,1,3,2024-03-30,2024-03-30,2024-04-02,2024-04-02,On-Time,3,0
272,272,5,2,2024-02-01,2024-02-01,2024-02-03,2024-02-03,On-Time,2,0
273,273,8,1,2024-01-14,2024-01-14,2024-01-17,2024-01-17,On-Time,3,0
274,274,1,5,2024-01-15,2024-01-15,2024-01-19,2024-01-22,Delayed,7,3
275,275,1,5,2024-02-13,2024-02-13,2024-02-17,2024-02-17,On-Time,4,0
276,276,4,1,2024-02-07,2024-02-07,2024-02-09,2024-02-09,On-Time,2,0
277,277,8,3,2024-02-18,2024-02-18,2024-02-21,2024-02-21,On-Time,3,0
278,278,5,4,2024-01-31,2024-01-31,2024-02-01,2024-02-03,Delayed,3,2
279,279,6,4,2024-01-13,2024-01-13,2024-01-15,2024-01-15,On-Time,2,0
280,280,5,5,2024-01-31,2024-01-31,2024-02-05,2024-02-05,On-Time,5,0
281,281,8,2,2024-01-04,2024-01-04,2024-01-06,2024-01-06,On-Time,2,0
282,282,1,5,2024-03-10,2024-03-10,2024-03-15,2024-03-15,On-Time,5,0
283,283,7,2,2024-03-03,2024-03-03,2024-03-04,2024-03-04,On-Time,1,0
284,284,1,4,2024-03-24,2024-03-24,2024-03-25,2024-03-25,On-Time,1,0
285,285,8,3,2024-03-25,2024-03-25,2024-03-28,2024-03-28,On-Time,3,0
286,286,1,4,2024-01-12,2024-01-12,2024-01-13,2024-01-13,On-Time,1,0
287,287,2,3,2024-02-27,2024-02-27,2024-03-01,2024-03-01,On-Time,3,0
288,288,4,2,2024-02-27,2024-02-27,2024-02-29,2024-02-29,On-Time,2,0
289,289,1,1,2024-03-02,2024-03-02,2024-03-04,2024-03-07,Delayed,5,3
290,290,6,1,2024-01-21,2024-01-21,2024-01-23,2024-01-23,On-Time,2,0
291,291,1,4,2024-02-07,2024-02-07,2024-02-09,2024-02-09,On-Time,2,0
292,292,5,2,2024-02-19,2024-02-19,2024-02-21,2024-02-21,On-Time,2,0
293,293,2,4,2024-01-04,2024-01-04,2024-01-05,2024-01-05,On-Time,1,0
294,294,1,1,2024-02-04,2024-02-04,2024-02-07,,Cancelled,0,0
295,295,7,3,2024-02-14,2024-02-14,2024-02-18,2024-02-18,On-Time,4,0
296,296,1,4,2024-01-31,2024-01-31,2024-02-01,2024-02-04,Delayed,4,3
297,297,6,4,2024-03-14,2024-03-14,2024-03-15,2024-03-15,On-Time,1,0
298,298,6,4,2024-03-04,2024-03-04,2024-03-05,2024-03-05,On-Time,1,0
299,299,4,4,2024-01-18,2024-01-18,2024-01-19,,Cancelled,0,0
300,300,5,1,2024-03-20,2024-03-20,2024-03-23,2024-03-24,Delayed,4,1
301,301,5,3,2024-01-14,2024-01-14,2024-01-17,2024-01-17,On-Time,3,0
302,302,2,5,2024-01-07,2024-01-07,2024-01-12,2024-01-12,On-Time,5,0
303,303,1,4,2024-01-16,2024-01-16,2024-01-17,2024-01-17,On-Time,1,0
304,304,1,3,2024-03-31,2024-03-31,2024-04-03,2024-04-03,On-Time,3,0
305,305,1,1,2024-02-10,2024-02-10,2024-02-13,2024-02-13,On-Time,3,0
306,306,8,4,2024-02-29,2024-02-29,2024-03-01,2024-03-01,On-Time,1,0
307,307,4,3,2024-03-03,2024-03-03,2024-03-06,2024-03-06,On-Time,3,0
308,308,1,1,2024-02-28,2024-02-28,2024-03-02,,Cancelled,0,0
309,309,8,3,2024-03-04,2024-03-04,2024-03-08,2024-03-08,On-Time,4,0
